COUNTRY_ID,COUNTRY,LAST_UPDATE
1,Afghanistan,2006-02-15 09:44:00.000 Z
2,Algeria,2006-02-15 09:44:00.000 Z
3,American Samoa,2006-02-15 09:44:00.000 Z
4,Angola,2006-02-15 09:44:00.000 Z
5,Anguilla,2006-02-15 09:44:00.000 Z
6,Argentina,2006-02-15 09:44:00.000 Z
7,Armenia,2006-02-15 09:44:00.000 Z
8,Australia,2006-02-15 09:44:00.000 Z
9,Austria,2006-02-15 09:44:00.000 Z
10,Azerbaijan,2006-02-15 09:44:00.000 Z
11,Bahrain,2006-02-15 09:44:00.000 Z
12,Bangladesh,2006-02-15 09:44:00.000 Z
13,Belarus,2006-02-15 09:44:00.000 Z
14,Bolivia,2006-02-15 09:44:00.000 Z
15,Brazil,2006-02-15 09:44:00.000 Z
16,Brunei,2006-02-15 09:44:00.000 Z
17,Bulgaria,2006-02-15 09:44:00.000 Z
18,Cambodia,2006-02-15 09:44:00.000 Z
19,Cameroon,2006-02-15 09:44:00.000 Z
20,Canada,2006-02-15 09:44:00.000 Z
21,Chad,2006-02-15 09:44:00.000 Z
22,Chile,2006-02-15 09:44:00.000 Z
23,China,2006-02-15 09:44:00.000 Z
24,Colombia,2006-02-15 09:44:00.000 Z
25,"Congo, The Democratic Republic of the",2006-02-15 09:44:00.000 Z
26,Czech Republic,2006-02-15 09:44:00.000 Z
27,Dominican Republic,2006-02-15 09:44:00.000 Z
28,Ecuador,2006-02-15 09:44:00.000 Z
29,Egypt,2006-02-15 09:44:00.000 Z
30,Estonia,2006-02-15 09:44:00.000 Z
31,Ethiopia,2006-02-15 09:44:00.000 Z
32,Faroe Islands,2006-02-15 09:44:00.000 Z
33,Finland,2006-02-15 09:44:00.000 Z
34,France,2006-02-15 09:44:00.000 Z
35,French Guiana,2006-02-15 09:44:00.000 Z
36,French Polynesia,2006-02-15 09:44:00.000 Z
37,Gambia,2006-02-15 09:44:00.000 Z
38,Germany,2006-02-15 09:44:00.000 Z
39,Greece,2006-02-15 09:44:00.000 Z
40,Greenland,2006-02-15 09:44:00.000 Z
41,Holy See (Vatican City State),2006-02-15 09:44:00.000 Z
42,Hong Kong,2006-02-15 09:44:00.000 Z
43,Hungary,2006-02-15 09:44:00.000 Z
44,India,2006-02-15 09:44:00.000 Z
45,Indonesia,2006-02-15 09:44:00.000 Z
46,Iran,2006-02-15 09:44:00.000 Z
47,Iraq,2006-02-15 09:44:00.000 Z
48,Israel,2006-02-15 09:44:00.000 Z
49,Italy,2006-02-15 09:44:00.000 Z
50,Japan,2006-02-15 09:44:00.000 Z
51,Kazakstan,2006-02-15 09:44:00.000 Z
52,Kenya,2006-02-15 09:44:00.000 Z
53,Kuwait,2006-02-15 09:44:00.000 Z
54,Latvia,2006-02-15 09:44:00.000 Z
55,Liechtenstein,2006-02-15 09:44:00.000 Z
56,Lithuania,2006-02-15 09:44:00.000 Z
57,Madagascar,2006-02-15 09:44:00.000 Z
58,Malawi,2006-02-15 09:44:00.000 Z
59,Malaysia,2006-02-15 09:44:00.000 Z
60,Mexico,2006-02-15 09:44:00.000 Z
61,Moldova,2006-02-15 09:44:00.000 Z
62,Morocco,2006-02-15 09:44:00.000 Z
63,Mozambique,2006-02-15 09:44:00.000 Z
64,Myanmar,2006-02-15 09:44:00.000 Z
65,Nauru,2006-02-15 09:44:00.000 Z
66,Nepal,2006-02-15 09:44:00.000 Z
67,Netherlands,2006-02-15 09:44:00.000 Z
68,New Zealand,2006-02-15 09:44:00.000 Z
69,Nigeria,2006-02-15 09:44:00.000 Z
70,North Korea,2006-02-15 09:44:00.000 Z
71,Oman,2006-02-15 09:44:00.000 Z
72,Pakistan,2006-02-15 09:44:00.000 Z
73,Paraguay,2006-02-15 09:44:00.000 Z
74,Peru,2006-02-15 09:44:00.000 Z
75,Philippines,2006-02-15 09:44:00.000 Z
76,Poland,2006-02-15 09:44:00.000 Z
77,Puerto Rico,2006-02-15 09:44:00.000 Z
78,Romania,2006-02-15 09:44:00.000 Z
79,Runion,2006-02-15 09:44:00.000 Z
80,Russian Federation,2006-02-15 09:44:00.000 Z
81,Saint Vincent and the Grenadines,2006-02-15 09:44:00.000 Z
82,Saudi Arabia,2006-02-15 09:44:00.000 Z
83,Senegal,2006-02-15 09:44:00.000 Z
84,Slovakia,2006-02-15 09:44:00.000 Z
85,South Africa,2006-02-15 09:44:00.000 Z
86,South Korea,2006-02-15 09:44:00.000 Z
87,Spain,2006-02-15 09:44:00.000 Z
88,Sri Lanka,2006-02-15 09:44:00.000 Z
89,Sudan,2006-02-15 09:44:00.000 Z
90,Sweden,2006-02-15 09:44:00.000 Z
91,Switzerland,2006-02-15 09:44:00.000 Z
92,Taiwan,2006-02-15 09:44:00.000 Z
93,Tanzania,2006-02-15 09:44:00.000 Z
94,Thailand,2006-02-15 09:44:00.000 Z
95,Tonga,2006-02-15 09:44:00.000 Z
96,Tunisia,2006-02-15 09:44:00.000 Z
97,Turkey,2006-02-15 09:44:00.000 Z
98,Turkmenistan,2006-02-15 09:44:00.000 Z
99,Tuvalu,2006-02-15 09:44:00.000 Z
100,Ukraine,2006-02-15 09:44:00.000 Z
101,United Arab Emirates,2006-02-15 09:44:00.000 Z
102,United Kingdom,2006-02-15 09:44:00.000 Z
103,United States,2006-02-15 09:44:00.000 Z
104,Venezuela,2006-02-15 09:44:00.000 Z
105,Vietnam,2006-02-15 09:44:00.000 Z
106,"Virgin Islands, U.S.",2006-02-15 09:44:00.000 Z
107,Yemen,2006-02-15 09:44:00.000 Z
108,Yugoslavia,2006-02-15 09:44:00.000 Z
109,Zambia,2006-02-15 09:44:00.000 Z
